Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,337.6091613769531,399.3699951171875,399.3699951171875,390.95001220703125,392.8599853515625,1258400
2020-01-03,349.75689697265625,413.739990234375,417.1700134277344,403.0,404.0199890136719,2990100
2020-01-06,349.2243957519531,413.1099853515625,417.989990234375,407.69000244140625,417.989990234375,2477800
2020-01-07,350.3994140625,414.5,416.1199951171875,408.2900085449219,411.25,1059900
2020-01-08,347.4660339355469,411.0299987792969,418.17999267578125,409.7200012207031,417.05999755859375,1708100
2020-01-09,350.762939453125,414.92999267578125,416.0,410.0,410.489990234375,1064300
2020-01-10,349.83306884765625,413.8299865722656,415.6000061035156,412.4800109863281,415.0,987800
2020-01-13,354.2204284667969,419.0199890136719,420.9599914550781,414.6600036621094,414.94000244140625,986800
2020-01-14,351.7858581542969,416.1400146484375,418.2699890136719,415.07000732421875,417.5899963378906,967200
2020-01-15,355.85198974609375,420.95001220703125,421.4800109863281,416.1400146484375,416.4200134277344,833000
2020-01-16,359.8673095703125,425.70001220703125,425.739990234375,420.6700134277344,423.1300048828125,1085200
2020-01-17,359.8336181640625,425.6600036621094,427.5400085449219,424.5,426.6099853515625,1195600
2020-01-21,360.247802734375,426.1499938964844,427.7799987792969,423.010009765625,424.4200134277344,1071400
2020-01-22,358.7853088378906,424.4200134277344,428.5,424.3599853515625,427.5,918700
2020-01-23,362.4710693359375,428.7799987792969,429.55999755859375,424.0,424.05999755859375,978400
2020-01-24,365.6158142089844,432.5,433.5199890136719,429.69000244140625,429.8999938964844,1086700
2020-01-27,365.5143737792969,432.3800048828125,434.45001220703125,425.8599853515625,425.8599853515625,1737900
2020-01-28,369.5635986328125,437.1700134277344,438.989990234375,426.2699890136719,434.7699890136719,2063200
2020-01-29,366.74847412109375,433.8399963378906,437.989990234375,431.0199890136719,437.7200012207031,1268500
2020-01-30,368.4900207519531,435.8999938964844,437.0,430.3399963378906,430.3399963378906,1210200
2020-01-31,361.91314697265625,428.1199951171875,435.57000732421875,426.1000061035156,434.92999267578125,1650100
2020-02-03,358.31195068359375,423.8599853515625,430.0,422.0400085449219,429.5199890136719,1795800
2020-02-04,364.1618957519531,430.7799987792969,431.989990234375,425.4599914550781,425.4599914550781,1216300
2020-02-05,367.88983154296875,435.19000244140625,435.9200134277344,429.0199890136719,433.32000732421875,1251800
2020-02-06,371.0852355957031,438.9700012207031,439.8599853515625,434.9100036621094,435.55999755859375,833500
2020-02-07,371.2543640136719,439.1700134277344,441.2099914550781,437.2900085449219,438.1400146484375,883800
2020-02-10,371.7530822753906,439.760009765625,441.5199890136719,437.82000732421875,439.0,870400
2020-02-11,371.8291015625,439.8500061035156,442.5299987792969,437.4700012207031,441.3599853515625,744600
2020-02-12,369.0818176269531,436.6000061035156,439.69000244140625,434.6000061035156,439.010009765625,1419200
2020-02-13,367.4755859375,434.70001220703125,439.2900085449219,434.29998779296875,435.79998779296875,800200
2020-02-14,370.13848876953125,437.8500061035156,438.4700012207031,434.30999755859375,434.9800109863281,948600
2020-02-18,368.19415283203125,435.54998779296875,438.95001220703125,434.010009765625,437.0,776100
2020-02-19,367.2896728515625,434.4800109863281,438.2699890136719,434.3999938964844,437.0,787200
2020-02-20,360.0956115722656,425.9700012207031,434.989990234375,424.1600036621094,433.6300048828125,1190600
2020-02-21,361.6427001953125,427.79998779296875,428.7200012207031,422.6600036621094,425.1199951171875,1055500
2020-02-24,354.4994201660156,419.3500061035156,424.20001220703125,418.1000061035156,419.6499938964844,1117800
2020-02-25,338.4461364746094,400.3599853515625,421.7300109863281,397.5299987792969,420.1000061035156,1600100
2020-02-26,338.9026184082031,400.8999938964844,410.5199890136719,399.3399963378906,400.30999755859375,1678000
2020-02-27,325.123291015625,384.6000061035156,399.010009765625,384.3299865722656,393.5199890136719,1894100
2020-02-28,314.6346130371094,369.8699951171875,373.82000732421875,360.3399963378906,369.8599853515625,3363800
2020-03-02,324.40020751953125,381.3500061035156,383.1000061035156,360.57000732421875,371.3500061035156,2859900
2020-03-03,321.0401306152344,377.3999938964844,396.8999938964844,376.5899963378906,384.8399963378906,2531400
2020-03-04,341.9919128417969,402.0299987792969,402.9599914550781,383.19000244140625,385.4200134277344,2025800
2020-03-05,327.2499694824219,384.70001220703125,397.8500061035156,382.2200012207031,393.9200134277344,1967200
2020-03-06,325.35302734375,382.4700012207031,384.95001220703125,368.4599914550781,372.0899963378906,2161000
